chr	start	end	ID	ADJ.P-value	PER	AMP	ZT1	ZT4	ZT7	ZT10	ZT13	ZT16	ZT19	ZT22	max	min	fold change	ADJ.phase
chr5	137952540	137953040	intragenic_si_7650	0.002024057	24	0.318198052	18.02	15.26	15.17	15.69	12.39	10.25	14.81	15.08	18.02	10.25	1.75804878	1
chr5	142847760	142848260	intergenic_si_17183	0.002024057	24	1.251579003	9.51	6.26	7.79	5.38	4.49	1.58	4.77	4.59	9.51	1.58	6.018987342	1
chr5	147488010	147488510	intergenic_bi_8636	0.002024057	24	14.08556708	42.05	17.22	8.58	8.57	8.8	34.43	20.08	22.13	42.05	8.57	4.906651109	1
chr5	147488595	147489095	intergenic_si_17275	0.002024057	24	4.843681451	23.03	8.61	4.79	4.21	3.05	10.77	9.54	11.64	23.03	3.05	7.550819672	1
chr5	147499408	147499908	intergenic_bi_8637	0.011607466	24	12.53700323	42.05	22.7	13.17	14.24	20.65	35.74	23.84	31.97	42.05	13.17	3.192862566	1
chr5	149777268	149777768	intergenic_bi_8654	1.77E-05	24	20.06769045	56.06	38.74	26.55	19.33	16.16	24.18	48.43	47.71	56.06	16.16	3.469059406	1
chr5	149842750	149843250	intergenic_bi_8660	0.002024057	24	3.563818177	20.02	13.3	14.37	11.33	10.23	11.3	17.32	15.74	20.02	10.23	1.956989247	1
chr5	151978566	151979066	intragenic_bi_9152	0.000244031	24	5.345727266	27.03	25.44	11.58	6.25	10.23	11.56	22.84	12.46	27.03	6.25	4.3248	1
chr6	3938716	3939216	intergenic_bi_8684	0.002024057	24	51.25817057	153.68	57.52	47.31	52.46	83.3	99.6	122.46	130.01	153.68	47.31	3.248361869	1
chr6	17137200	17137700	intergenic_bi_8712	0.000244031	24	4.398204179	10.51	6.26	4.39	2.33	1.8	2.1	8.78	7.05	10.51	1.8	5.838888889	1
chr6	29469055	29469555	intergenic_si_17546	0.002024057	24	2.227386361	11.01	7.44	3.39	3.92	2.15	3.94	7.28	4.75	11.01	2.15	5.120930233	1
chr6	29608610	29609110	intergenic_bi_8740	0.002024057	24	19.54443143	63.57	43.83	17.37	26.16	22.62	32.59	48.68	59.02	63.57	17.37	3.659758204	1
chr6	29609098	29609598	intergenic_bi_8741	0.002024057	24	27.20239787	93.61	54.39	13.57	37.49	22.26	37.84	60.73	84.27	93.61	13.57	6.898305085	1
chr6	35846070	35846570	intergenic_si_17623	5.97E-07	24	4.666904756	14.52	12.91	8.58	6.25	3.95	6.31	11.54	11.97	14.52	3.95	3.675949367	1
chr6	48541173	48541673	intragenic_bi_9305	0.011607466	24	2.658721497	11.51	6.65	4.59	2.47	3.77	3.42	7.53	6.56	11.51	2.47	4.659919028	1
chr6	48551093	48551593	intergenic_si_17705	0.000244031	24	25.73868684	126.14	117.01	88.83	91.99	75.22	79.89	120.96	124.44	126.14	75.22	1.67694762	1
chr6	48551723	48552223	intergenic_bi_8800	0.011607466	24	57.60798946	284.33	227.36	154.9	175.25	139.86	185.79	256.72	226.74	284.33	139.86	2.032961533	1
chr6	51120616	51121116	intergenic_bi_8805	0.002024057	24	4.341635636	21.52	15.65	10.98	12.06	10.59	11.83	18.32	18.69	21.52	10.59	2.03210576	1
chr6	54676239	54676739	intergenic_bi_8819	0.011607466	24	4.270924958	14.52	10.96	3.19	3.05	6.82	11.83	13.3	10.82	14.52	3.05	4.760655738	1
chr6	57494858	57495358	intragenic_bi_9358	0.011607466	24	7.254915575	39.04	25.04	18.36	6.98	11.13	8.93	15.56	14.76	39.04	6.98	5.593123209	1
chr6	57495001	57495501	intragenic_bi_9359	0.002024057	24	4.235569619	29.03	17.22	13.97	5.67	9.52	8.15	11.04	12.62	29.03	5.67	5.119929453	1
chr6	70764565	70765065	intergenic_si_17811	0.002024057	24	5.374011537	21.02	15.65	11.38	6.54	3.59	2.63	7.28	3.77	21.02	2.63	7.992395437	1
chr6	71135261	71135761	intergenic_bi_8841	0.002024057	24	8.004448763	38.54	28.18	20.56	16.86	8.62	17.87	31.37	18.85	38.54	8.62	4.47099768	1
chr6	71139060	71139560	intergenic_si_17817	0.011607466	24	4.292138162	30.03	14.48	13.77	19.47	3.23	12.09	18.82	19.84	30.03	3.23	9.297213622	1
chr6	71152117	71152617	intragenic_si_7949	0.002024057	24	9.673220767	51.06	40.7	40.72	40.54	27.83	27.59	37.14	50.82	51.06	27.59	1.850670533	1
chr6	71187020	71187520	intragenic_bi_9373	0.000244031	24	16.11496354	60.57	48.92	58.69	41.27	21.18	31.54	35.63	48.69	60.57	21.18	2.859773371	1
chr6	72462346	72462846	intragenic_bi_9399	0.011607466	24	3.669884194	13.52	9	3.99	9.15	3.05	2.89	7.53	9.18	13.52	2.89	4.678200692	1
chr6	72583535	72584035	intragenic_si_7968	0.002024057	24	7.848885271	15.52	4.7	1.2	0.58	0.54	8.93	12.3	11.64	15.52	0.54	28.74074074	1
chr6	86127568	86128068	intergenic_si_17965	5.34E-09	24	3.443610024	11.01	9.78	6.79	4.36	2.87	5.52	8.28	10.16	11.01	2.87	3.836236934	1
chr6	86132625	86133125	intergenic_si_17966	5.97E-07	24	2.361736649	6.51	4.3	3.19	2.03	1.62	1.84	4.02	5.74	6.51	1.62	4.018518519	1
chr6	86138674	86139174	intergenic_si_17968	0.011607466	24	4.143645738	10.51	10.17	10.18	4.07	2.33	4.99	3.76	9.84	10.51	2.33	4.510729614	1
chr6	88024991	88025491	intergenic_bi_8958	0.011607466	24	9.616652224	95.61	61.83	65.08	66.41	57.45	60.44	75.53	80.66	95.61	57.45	1.664229765	1
chr6	91657097	91657597	intragenic_bi_9526	0.002024057	24	2.764787514	11.51	3.91	2.99	3.34	4.85	6.31	6.52	10.82	11.51	2.99	3.849498328	1
chr6	94590207	94590707	intragenic_si_8048	0.000244031	24	1.562705986	5.01	3.52	2.79	1.16	0.18	1.31	3.26	2.46	5.01	0.18	27.83333333	1
chr6	94597991	94598491	intragenic_si_8049	0.011607466	24	4.384062043	18.02	9	9.18	9.74	5.57	7.1	13.3	16.07	18.02	5.57	3.23518851	1
chr6	94668451	94668951	intergenic_bi_9005	0.002024057	24	2.192031022	16.52	11.74	15.17	4.94	5.39	9.2	10.79	12.3	16.52	4.94	3.344129555	1
chr6	94679800	94680300	intergenic_bi_9006	0.011607466	24	16.21395849	50.56	46.18	48.51	23.25	27.29	22.34	40.15	29.35	50.56	22.34	2.263205013	1
chr6	99121787	99122287	intragenic_bi_9550	0.011607466	24	12.3672976	45.55	31.31	24.55	7.27	13.82	13.4	26.35	23.94	45.55	7.27	6.265474553	1
chr6	99156453	99156953	intragenic_bi_9553	0.002024057	24	1.668772004	13.01	5.09	5.59	1.89	4.67	5.52	7.03	7.54	13.01	1.89	6.883597884	1
chr6	99472525	99473025	intergenic_bi_9030	0.011607466	24	10.36618541	85.6	82.57	83.64	64.38	55.83	53.61	59.72	55.25	85.6	53.61	1.59671703	1
chr6	120062328	120062828	intragenic_bi_9645	0.002024057	24	0.360624458	6.01	1.96	2.6	1.74	0.9	1.84	3.01	2.13	6.01	0.9	6.677777778	1
chr6	120489143	120489643	intergenic_bi_9090	0.011607466	24	9.680291834	43.05	36.78	25.75	40.4	19.93	26.8	32.37	40.49	43.05	19.93	2.160060211	1
chr6	121087143	121087643	intergenic_si_18283	0.002024057	24	10.63488599	28.53	27.39	10.18	10.46	7.18	21.81	19.07	27.05	28.53	7.18	3.973537604	1
chr6	121087460	121087960	intergenic_si_18284	0.002024057	24	17.21097905	46.55	42.65	14.97	18.31	10.41	35.21	27.6	41.97	46.55	10.41	4.471661864	1
chr6	121087836	121088336	intergenic_bi_9101	0.011607466	24	41.53545233	154.68	104.48	41.12	43.6	42.37	111.42	110.16	118.7	154.68	41.12	3.761673152	1
chr6	121088322	121088822	intergenic_bi_9102	0.011607466	23	59.88723032	172.7	118.57	39.72	51.88	46.86	123.51	136.01	134.11	172.7	39.72	4.347935549	1
chr6	121115197	121115697	intergenic_si_18292	1.77E-05	24	16.82207032	63.07	57.13	25.95	10.75	6.46	18.13	27.85	26.72	63.07	6.46	9.763157895	1
chr6	124831823	124832323	intragenic_bi_9688	1.77E-05	24	5.939696962	30.54	27	24.75	17	16.16	21.02	29.61	28.2	30.54	16.16	1.889851485	1
chr6	128483229	128483729	intergenic_si_18395	0.011607466	24	5.062884553	40.55	30.52	23.36	16.28	18.85	28.91	25.6	25.74	40.55	16.28	2.490786241	1
chr6	128485362	128485862	intergenic_si_18397	0.011607466	24	0.834386002	12.01	7.83	6.59	6.39	4.13	8.15	6.78	7.38	12.01	4.13	2.907990315	1
chr6	128547037	128547537	intergenic_bi_9146	0.011607466	24	4.582051942	31.54	18.78	10.98	5.23	3.95	13.14	11.54	11.15	31.54	3.95	7.984810127	1
chr6	134110926	134111426	intragenic_bi_9751	5.97E-07	24	4.214356416	10.51	7.44	7.39	3.49	2.15	4.2	7.03	10.16	10.51	2.15	4.888372093	1
chr6	136418699	136419199	intergenic_bi_9180	0.024890262	21	4.150716806	11.01	7.44	3.39	5.81	4.67	8.93	10.54	8.69	11.01	3.39	3.247787611	1
chr6	145288371	145288871	intergenic_bi_9226	0.000244031	24	13.62594767	71.58	28.18	34.53	23.69	19.75	24.7	63.99	61.48	71.58	19.75	3.624303797	1
chr6	145289134	145289634	intergenic_bi_9227	0.011607466	24	13.78858223	95.11	75.13	56.29	48.97	39.14	73.32	75.79	68.37	95.11	39.14	2.42999489	1
chr6	145289387	145289887	intergenic_bi_9228	0.002024057	24	13.97243	97.11	79.05	59.29	56.53	42.91	71.22	76.04	70.5	97.11	42.91	2.263108832	1
chr6	145291962	145292462	intergenic_si_18582	0.000244031	24	1.42128463	8.51	1.57	0.8	0	0.36	0.53	4.27	3.77	8.51	0.01	851	1
chr6	145309605	145310105	intergenic_bi_9237	0.002024057	24	28.2277027	88.1	63.79	30.94	25.87	43.99	72.27	87.58	71.97	88.1	25.87	3.405488983	1
chr6	146744264	146744764	intergenic_si_18621	0.011607466	24	1.767766953	17.52	12.91	8.78	12.06	10.41	12.88	11.04	16.56	17.52	8.78	1.995444191	1
chr6	146856240	146856740	intragenic_bi_9819	0.000244031	24	2.234457429	10.51	7.04	10.18	2.33	1.8	1.58	3.26	3.28	10.51	1.58	6.651898734	1
chr6	149087657	149088157	intergenic_bi_9258	0.002024057	24	26.7357074	76.09	47.35	34.33	32.41	46.68	74.37	58.97	72.14	76.09	32.41	2.347732181	1
chr7	3235614	3236114	intragenic_bi_9842	0.002024057	24	2.637508294	11.51	7.04	1.6	5.67	3.95	6.83	6.52	10	11.51	1.6	7.19375	1
chr7	15103592	15104092	intergenic_bi_9317	0.011607466	24	4.935605333	99.11	94.31	78.85	78.04	41.83	98.81	95.86	98.04	99.11	41.83	2.36935214	1
chr7	15103741	15104241	intergenic_bi_9318	0.011607466	24	8.980256121	103.12	91.96	79.65	78.04	42.73	100.91	94.86	96.4	103.12	42.73	2.413292769	1
chr7	16633024	16633524	intergenic_bi_9329	1.77E-05	24	11.38441918	92.61	76.31	59.09	56.67	38.6	58.6	72.77	61.81	92.61	38.6	2.399222798	1
chr7	16880667	16881167	intergenic_bi_9336	0.002024057	24	2.892066735	20.52	5.87	9.78	7.7	4.67	9.72	11.79	16.23	20.52	4.67	4.394004283	1
chr7	16898318	16898818	intragenic_bi_9924	0.002024057	24	15.87454724	77.59	47.35	26.55	32.26	18.85	46.51	54.71	48.53	77.59	18.85	4.116180371	1
chr7	19893783	19894283	intragenic_bi_9959	1.77E-05	24	0.721248917	14.52	10.17	9.18	9.3	8.44	9.46	10.04	12.13	14.52	8.44	1.720379147	1
chr7	25438856	25439356	intergenic_si_18896	0.024890262	21	2.404163056	6.51	2.74	1	1.16	1.08	4.73	5.27	4.59	6.51	1	6.51	1
chr7	26063602	26064102	intragenic_bi_10000	0.011607466	24	4.836610383	39.55	27	25.15	27.46	21.9	23.65	31.87	30.49	39.55	21.9	1.805936073	1
chr7	28142244	28142744	intragenic_bi_10037	0.002024057	24	0.692964646	5.51	4.3	4.39	3.92	3.41	2.63	2.51	4.26	5.51	2.51	2.195219124	1
chr7	28275581	28276081	intragenic_bi_10041	0.011607466	24	3.528462838	17.52	9.78	4.79	8.72	4.49	10.51	6.78	14.59	17.52	4.49	3.902004454	1
chr7	29142335	29142835	intergenic_si_18959	0.000244031	24	3.592102448	25.03	21.52	14.77	14.82	13.47	11.04	14.05	19.02	25.03	11.04	2.267210145	1
chr7	29160462	29160962	intragenic_bi_10058	0.011607466	24	15.4219989	72.08	64.57	35.93	40.98	43.99	44.15	61.73	63.12	72.08	35.93	2.006123017	1
chr7	29166795	29167295	intergenic_bi_9440	5.97E-07	24	16.06546607	115.63	91.57	76.45	71.64	54.04	68.85	81.06	107.55	115.63	54.04	2.139711325	1
chr7	29166960	29167460	intergenic_bi_9441	5.34E-09	24	17.86858836	109.63	91.57	75.46	67.43	56.73	68.33	85.57	101.98	109.63	56.73	1.93248722	1
chr7	29593614	29594114	intergenic_si_18968	0.000244031	24	16.01596859	114.63	93.92	91.62	67.14	71.27	63.07	80.55	90.66	114.63	63.07	1.81750436	1
chr7	29710303	29710803	intragenic_bi_10068	0.000244031	24	1.463711037	14.02	11.35	9.58	9.45	7.36	7.88	8.03	8.53	14.02	7.36	1.904891304	1
chr7	30119165	30119665	intragenic_bi_10075	0.002024057	24	1.753624817	7.01	4.3	2.79	3.34	4.67	6.04	6.78	5.74	7.01	2.79	2.512544803	1
chr7	30123459	30123959	intragenic_bi_10076	0.002024057	24	12.36022654	63.07	55.18	40.92	27.32	37.7	40.47	61.48	43.77	63.07	27.32	2.308565154	1
chr7	31940984	31941484	intergenic_bi_9484	7.09E-05	24	3.563818177	14.02	13.7	10.98	10.17	7.36	10.51	13.3	10.98	14.02	7.36	1.904891304	1
chr7	35444684	35445184	intergenic_bi_9490	1.77E-05	24	10.6985256	61.57	54.39	47.11	48.39	33.03	35.74	51.69	60.82	61.57	33.03	1.864062973	1
chr7	38000538	38001038	intergenic_si_19087	0.002024057	24	10.99551045	66.58	50.09	53.5	23.54	30.88	34.95	45.67	50.5	66.58	23.54	2.82837723	1
chr7	52109831	52110331	intragenic_bi_10192	5.97E-07	24	14.64418144	130.65	113.48	97.01	95.76	78.82	92.77	106.9	119.52	130.65	78.82	1.65757422	1
chr7	52110040	52110540	intragenic_bi_10193	5.97E-07	24	14.92702415	117.13	104.09	87.03	82.98	73.43	90.4	99.88	110.34	117.13	73.43	1.595124608	1
chr7	54076661	54077161	intragenic_si_8570	0.002024057	24	1.97282792	7.51	2.74	7.19	2.33	1.8	2.37	7.28	4.75	7.51	1.8	4.172222222	1
chr7	54089637	54090137	intergenic_si_19179	0.011607466	24	10.15405338	31.04	23.87	10.18	10.9	7.36	13.14	29.36	22.3	31.04	7.36	4.217391304	1
chr7	54093477	54093977	intergenic_bi_9566	0.000244031	24	16.48973014	104.12	56.74	35.33	45.05	26.57	37.84	51.44	86.73	104.12	26.57	3.918705307	1
chr7	54094320	54094820	intergenic_bi_9567	0.002024057	24	10.96722618	37.54	27	17.37	26.01	15.08	18.92	33.38	34.43	37.54	15.08	2.48938992	1
chr7	54307062	54307562	intragenic_si_8575	0.011607466	24	0.90509668	7.01	5.87	3.99	5.23	3.05	5.26	3.76	5.9	7.01	3.05	2.298360656	1
chr7	57018060	57018560	intragenic_si_8584	1.77E-05	24	0.827314934	8.01	1.57	1	0.73	0.72	1.05	5.27	5.41	8.01	0.72	11.125	1
chr7	71898500	71899000	intragenic_bi_10284	5.34E-09	24	23.09410747	90.1	75.53	50.7	42.87	24.78	44.67	68.26	77.71	90.1	24.78	3.635996772	1
chr7	71899036	71899536	intragenic_bi_10285	0.002024057	24	12.50164789	65.07	50.09	35.13	32.41	19.21	36.79	53.95	46.89	65.07	19.21	3.387298282	1
chr7	80739904	80740404	intergenic_bi_9616	0.002024057	24	15.59877559	150.67	93.53	63.48	77.16	91.02	96.71	140.28	98.04	150.67	63.48	2.373503466	1
chr7	80753811	80754311	intergenic_si_19291	0.000244031	24	0.813172798	5.51	3.13	2	1.02	3.05	3.94	3.76	4.1	5.51	1.02	5.401960784	1
chr7	80762354	80762854	intergenic_bi_9620	0.000244031	24	5.904341623	80.09	66.52	59.69	63.5	32.68	45.73	61.23	66.56	80.09	32.68	2.450734394	1
chr7	82643589	82644089	intragenic_bi_10321	0.000244031	24	7.113494219	30.54	27.78	10.78	10.17	8.98	13.14	25.35	16.07	30.54	8.98	3.400890869	1
chr7	88333960	88334460	intergenic_bi_9657	0.002024057	24	3.563818177	25.03	12.52	15.37	12.5	7.36	13.4	17.82	17.54	25.03	7.36	3.400815217	1
chr7	91294033	91294533	intragenic_bi_10382	1.77E-05	24	23.27088417	91.1	81	61.28	42.87	49.73	48.09	66.5	88.04	91.1	42.87	2.125029158	1
chr7	91298649	91299149	intragenic_si_8723	0.000244031	24	3.874945161	14.52	10.96	6.39	3.78	6.82	9.72	9.79	12.3	14.52	3.78	3.841269841	1
chr7	91349593	91350093	intergenic_bi_9677	0.002024057	24	25.56191014	91.1	61.05	84.84	18.75	21.54	28.12	28.61	64.27	91.1	18.75	4.858666667	1
chr7	97179319	97179819	intragenic_bi_10390	0.011607466	24	2.474873734	16.52	10.17	12.58	8.43	9.52	9.2	12.05	16.07	16.52	8.43	1.959667853	1
chr7	104896474	104896974	intergenic_si_19448	0.002024057	24	5.593214639	20.52	19.57	9.78	7.27	10.23	12.61	15.31	16.07	20.52	7.27	2.822558459	1
chr7	105252468	105252968	intragenic_bi_10412	0.000244031	24	11.56119587	32.04	18.39	10.78	9.88	8.08	16.56	26.35	26.23	32.04	8.08	3.965346535	1
chr7	108446778	108447278	intragenic_si_8797	0.011607466	24	2.432447327	18.52	14.48	12.38	11.04	9.16	7.1	16.56	11.48	18.52	7.1	2.608450704	1
chr7	108448754	108449254	intragenic_si_8798	0.000244031	24	2.729432175	10.51	8.61	8.58	7.56	4.13	2.63	5.77	4.92	10.51	2.63	3.996197719	1
chr7	108458795	108459295	intergenic_bi_9750	0.011607466	24	17.96758331	138.66	122.87	108.39	87.48	107.72	94.61	132.25	121.32	138.66	87.48	1.585048011	1
chr7	119517538	119518038	intragenic_bi_10518	0.011607466	24	3.84666089	14.52	5.48	3.19	3.49	6.64	4.73	12.55	10.82	14.52	3.19	4.551724138	1
chr7	121460832	121461332	intragenic_bi_10529	1.77E-05	24	1.796051224	12.51	9.39	9.18	7.12	5.75	6.04	7.03	7.21	12.51	5.75	2.175652174	1
chr7	126892286	126892786	intergenic_bi_9811	0.011607466	24	3.408254685	28.53	17.22	12.98	8.72	10.59	8.67	14.05	11.15	28.53	8.67	3.290657439	1
chr7	127974177	127974677	intergenic_bi_9816	5.97E-07	24	4.101219331	18.52	18.39	16.57	12.06	10.77	9.99	11.54	15.9	18.52	9.99	1.853853854	1
chr7	127974364	127974864	intergenic_bi_9817	1.77E-05	24	4.709331163	22.53	21.52	17.37	14.39	12.03	11.83	14.3	18.69	22.53	11.83	1.904480135	1
chr7	127978308	127978808	intergenic_si_19669	0.000244031	24	8.683271273	44.05	38.35	34.13	21.8	20.11	28.12	40.4	34.26	44.05	20.11	2.190452511	1
chr7	127978828	127979328	intergenic_bi_9819	0.011607466	24	168.7298201	1875.65	1584.46	1143.42	1229.38	1201.8	1240.11	1440.42	1412.73	1875.65	1143.42	1.64038586	1
chr7	127979009	127979509	intergenic_bi_9820	0.011607466	24	166.21252	1863.64	1569.2	1129.64	1216.6	1191.56	1231.44	1426.62	1390.44	1863.64	1129.64	1.649764527	1
chr7	132380491	132380991	intergenic_bi_9834	0.002024057	24	6.363961031	26.53	17.61	11.58	15.98	10.41	14.19	20.58	25.08	26.53	10.41	2.548511047	1
chr7	134419990	134420490	intragenic_bi_10630	5.97E-07	24	6.477098116	35.54	30.13	25.75	22.38	19.03	21.81	27.6	35.25	35.54	19.03	1.867577509	1
chr7	134621263	134621763	intragenic_si_8910	0.000244031	24	29.38028676	199.73	167.09	140.13	124.54	117.06	129.56	167.88	153.29	199.73	117.06	1.706219033	1
chr7	134621561	134622061	intragenic_bi_10643	0.000244031	24	24.95379831	176.7	154.18	120.57	118.29	100	120.62	153.58	136.57	176.7	100	1.767	1
chr7	134959284	134959784	intragenic_bi_10659	1.77E-05	24	8.223651865	21.02	12.91	3.79	4.21	2.51	6.83	12.8	16.23	21.02	2.51	8.374501992	1
chr7	137390265	137390765	intragenic_si_8929	0.002024057	24	2.559726548	9.51	9	7.19	5.23	4.13	4.2	1.25	6.72	9.51	1.25	7.608	1
chr7	139763131	139763631	intragenic_si_8934	5.97E-07	24	1.081873375	6.01	3.13	2.6	1.6	0.36	2.63	2.76	3.93	6.01	0.36	16.69444444	1
chr7	147903030	147903530	intergenic_si_19845	0.000244031	24	1.880904038	11.01	6.26	4.39	4.65	2.51	2.89	6.27	7.05	11.01	2.51	4.386454183	1
chr7	147903379	147903879	intergenic_bi_9909	0.002024057	24	8.654987002	27.03	25.04	19.36	20.05	6.28	9.99	12.8	16.23	27.03	6.28	4.304140127	1
chr7	147934427	147934927	intergenic_bi_9913	0.002024057	24	5.20430591	21.52	17.61	16.17	15.69	6.64	10.25	7.78	11.64	21.52	6.64	3.240963855	1
chr7	147941256	147941756	intergenic_bi_9914	0.011607466	24	6.668016947	41.55	33.26	33.34	30.95	16.52	23.91	14.3	28.85	41.55	14.3	2.905594406	1
chr7	148234115	148234615	intergenic_bi_9926	0.002024057	24	8.379215357	46.05	36	24.15	29.94	25.67	23.91	30.62	43.28	46.05	23.91	1.925972396	1
chr7	148649623	148650123	intragenic_bi_10776	0.000244031	24	0.90509668	14.02	9	8.18	7.12	7.9	6.57	8.78	9.18	14.02	6.57	2.133942161	1
chr7	151015784	151016284	intragenic_bi_10795	0.002024057	24	11.98545994	43.05	27.78	17.97	16.57	14.54	33.37	28.36	34.92	43.05	14.54	2.960797799	1
chr8	4678203	4678703	intergenic_bi_9981	1.77E-05	24	6.123544725	72.08	55.96	49.11	49.12	37.52	47.3	53.95	64.27	72.08	37.52	1.921108742	1
chr8	10908844	10909344	intergenic_si_19996	0.000244031	24	44.34973732	202.73	135.01	126.96	84.28	57.81	46.25	109.41	89.84	202.73	46.25	4.383351351	1
chr8	10910176	10910676	intergenic_si_19997	5.97E-07	24	17.33825827	85.1	68.48	54.9	34.44	25.13	19.71	34.38	34.92	85.1	19.71	4.317605277	1
chr8	10922806	10923306	intragenic_si_9001	1.77E-05	24	5.649783182	30.54	16.83	6.79	1.74	2.15	3.68	7.03	8.03	30.54	1.74	17.55172414	1
chr8	10965252	10965752	intergenic_bi_9998	5.97E-07	24	4.65276262	20.02	7.04	1.6	1.31	0.9	4.47	5.02	11.8	20.02	0.9	22.24444444	1
chr8	10965374	10965874	intergenic_bi_9999	5.97E-07	24	4.603265146	21.02	6.65	1.4	1.31	1.08	4.2	5.02	11.31	21.02	1.08	19.46296296	1
chr8	12711567	12712067	intragenic_bi_10838	0.000244031	24	11.44805879	25.53	5.87	1.2	3.2	5.21	14.72	23.09	25.41	25.53	1.2	21.275	1
chr8	12720692	12721192	intergenic_bi_10005	0.000244031	24	18.02415185	39.04	14.87	1.4	5.38	7.54	17.87	30.87	38.69	39.04	1.4	27.88571429	1
chr8	24320342	24320842	intergenic_bi_10029	0.011607466	24	4.582051942	29.53	27.78	23.36	20.78	27.47	15.5	18.07	21.97	29.53	15.5	1.90516129	1
chr8	35005775	35006275	intragenic_bi_10929	0.002024057	24	2.481944802	7.01	6.26	2.6	1.02	2.51	3.42	6.02	4.26	7.01	1.02	6.87254902	1
chr8	35013146	35013646	intragenic_si_9076	0.000244031	24	9.446946597	28.03	20.35	6.99	5.96	8.26	10.25	16.06	21.97	28.03	5.96	4.703020134	1
chr8	37731434	37731934	intragenic_bi_10943	0.024890262	21	2.906208871	6.01	2.74	2.2	1.16	2.87	5.52	5.27	4.92	6.01	1.16	5.181034483	1
chr8	37809033	37809533	intragenic_si_9096	0.002024057	24	1.145512986	5.01	3.13	3.59	3.05	1.97	1.58	2.76	4.59	5.01	1.58	3.170886076	1
chr8	40725017	40725517	intragenic_bi_10951	0.000244031	24	1.739482682	10.51	9	7.79	5.81	6.46	6.04	6.52	9.02	10.51	5.81	1.808950086	1
chr8	42124739	42125239	intragenic_bi_10960	0.002024057	24	1.180868325	5.01	3.52	2	1.89	2.69	3.94	3.01	4.26	5.01	1.89	2.650793651	1
chr8	46706870	46707370	intragenic_bi_10977	0.011607466	24	9.30552524	42.55	36.39	25.75	18.46	28.01	25.49	41.66	37.22	42.55	18.46	2.304983749	1
chr8	47471708	47472208	intergenic_bi_10153	0.011607466	24	6.745798693	70.58	41.87	21.96	43.16	39.14	44.94	48.68	50.82	70.58	21.96	3.214025501	1
chr8	47472319	47472819	intergenic_bi_10154	0.002024057	24	4.058792924	42.55	26.22	14.37	25.14	25.13	29.7	30.87	33.77	42.55	14.37	2.961029923	1
chr8	47532647	47533147	intergenic_bi_10158	0.024890262	21	93.36637939	209.24	151.44	60.88	69.61	77.2	152.94	167.63	145.09	209.24	60.88	3.436925099	1
chr8	47533942	47534442	intergenic_bi_10159	0.011607466	24	7.820601	32.54	26.61	10.38	15.55	10.77	23.13	25.09	24.43	32.54	10.38	3.134874759	1
chr8	59031589	59032089	intragenic_si_9168	1.77E-05	24	3.832518754	17.52	7.83	5.99	3.92	3.59	5.52	11.04	9.34	17.52	3.59	4.880222841	1
chr8	69111221	69111721	intergenic_si_20398	0.011607466	24	1.52027958	10.01	3.91	0.2	2.47	1.8	6.57	2.51	7.05	10.01	0.2	50.05	1
chr8	73211521	73212021	intergenic_si_20468	5.97E-07	24	1.187939392	10.01	5.87	4.99	4.36	1.8	5.26	5.77	8.69	10.01	1.8	5.561111111	1
chr8	73268111	73268611	intragenic_bi_11062	0.011607466	24	4.928534265	41.55	30.52	27.95	25.87	31.96	31.01	40.4	34.92	41.55	25.87	1.60610746	1
chr8	73276970	73277470	intergenic_bi_10251	0.011607466	24	8.223651865	45.55	36	25.55	33.42	28.55	28.12	34.88	40.99	45.55	25.55	1.782778865	1
chr8	87162714	87163214	intragenic_bi_11136	0.011607466	24	3.160767312	19.02	16.83	12.38	17.44	10.59	13.4	13.8	17.87	19.02	10.59	1.796033994	1
chr8	87180642	87181142	intergenic_bi_10330	5.97E-07	24	10.23183512	43.55	37.96	28.35	22.09	20.83	26.02	29.36	36.56	43.55	20.83	2.090734518	1
chr8	87185034	87185534	intragenic_bi_11137	1.77E-05	24	2.934493142	23.03	18.78	15.57	13.37	13.29	15.24	14.81	19.51	23.03	13.29	1.732881866	1
chr8	87230555	87231055	intragenic_bi_11144	0.002024057	24	2.588010819	16.02	12.52	8.78	10.75	8.8	9.46	11.79	13.12	16.02	8.78	1.824601367	1
chr8	87231134	87231634	intragenic_bi_11145	0.002024057	24	4.242640687	22.53	19.17	13.97	18.46	12.03	9.72	18.07	20	22.53	9.72	2.317901235	1
chr8	87436975	87437475	intragenic_bi_11154	0.002024057	24	7.297341982	41.05	36	20.36	11.48	20.29	16.03	26.35	25.74	41.05	11.48	3.575783972	1
chr8	87506476	87506976	intergenic_si_20590	0.002024057	24	2.319310242	8.01	6.65	7.19	6.54	2.69	0.79	4.02	2.95	8.01	0.79	10.13924051	1
chr8	93899036	93899536	intragenic_si_9295	0.002024057	24	2.750645379	17.52	14.09	6.39	4.65	5.57	6.57	12.05	7.54	17.52	4.65	3.767741935	1
chr8	93903812	93904312	intragenic_bi_11198	0.011607466	24	26.01445848	90.1	77.09	26.95	29.21	24.96	47.57	63.74	45.25	90.1	24.96	3.609775641	1
chr8	93904704	93905204	intragenic_si_9296	0.002024057	24	32.85218105	102.12	93.53	40.72	43.3	35.55	70.17	88.08	79.02	102.12	35.55	2.87257384	1
